model,period_end,yhat,yhat_lower_80,yhat_upper_80,yhat_lower_95,yhat_upper_95,ticker,line_item
autoarima,2026-04-30,4836300124.402511,3929555213.9347587,5743045034.870262,3449553453.052953,6223046795.7520685,PANW,Revenue
autoarima,2026-07-31,7372418617.158819,6465673706.691068,8279163527.626571,5985671945.809261,8759165288.508377,PANW,Revenue
autoarima,2026-10-31,2745902361.2743583,1839157450.8066063,3652647271.7421103,1359155689.9248002,4132649032.6239166,PANW,Revenue
autoarima,2027-01-31,7443901002.901537,6537156092.433785,8350645913.369288,6057154331.551979,8830647674.251095,PANW,Revenue
lasso,2026-04-30,7575186988.954172,5404945563.590062,8593373106.86425,5099191778.149161,9059948776.097569,PANW,Revenue
lasso,2026-07-31,8159905192.942902,6775050356.463492,9739058788.03244,6339740340.891934,10421461389.961065,PANW,Revenue
lasso,2026-10-31,4079952596.471451,3387525178.231746,4869529394.01622,3169870170.445967,5210730694.980533,PANW,Revenue
lasso,2027-01-31,6644226899.004972,5508218220.60855,8064363721.961639,5065969630.918295,8815785486.181313,PANW,Revenue
prophet,2026-07-31,4679287114.968717,3120891036.438006,6556116713.48021,2044982989.5560198,7182546904.839968,PANW,Revenue
prophet,2026-10-31,4817586098.523734,3155237685.484779,6491289926.959248,2249560726.832137,7376949447.290931,PANW,Revenue
prophet,2027-01-31,4955885082.078752,3190474086.121015,6777827745.948589,2256433748.3135953,7746454385.620039,PANW,Revenue
prophet,2027-04-30,5091177565.99127,3414982124.526611,6904190930.433418,2701848848.908361,7648054673.596996,PANW,Revenue
